Kjøper,Postnr.,Latitude,Longitude,cleaned_postal_code
TK BRUKT AS,4319,58.8524,5.7352,4319
SELECT BIL AS,3713,59.1783,9.6413,3713
ILIA AS,1663,59.2538,10.9915,1663
HOKKSUND AUTO AS,3302,59.7701,9.8764,3302
AUTO VEST AS,5536,59.4138,5.268,5536
CARLSEN AS,5238,60.3106,5.3455,5238
PLAY CAR AS,2060,60.1993,11.074,2060
ØSTFOLD BILSALG AS AVD ASKIM,1832,59.591,11.1312,1832
SIGMA BIL,5224,60.3182,5.3532,5224
BILLAGERET AS,2323,60.8273,11.1324,2323
SIGMA BIL,5224,60.3182,5.3532,5224
GRENLAND BIL AS,3735,59.1769,9.6167,3735
AUTONOA AS,3713,59.1783,9.6413,3713
VS BIL AS,3027,59.7539,10.1184,3027
FOLLO BIL & DELER AS,1410,59.8102,10.7985,1410
ERA LINE AS,4031,58.9701,5.7333,4031
SIGMA BIL,5224,60.3182,5.3532,5224
KLIKKBIL AS,3539,60.5565,10.0877,3539
ØSTFOLD BILSALG AS AVD ASKIM,1832,59.591,11.1312,1832
MOBILE ALNABRU AS,0668,59.9127,10.7461,0668
BILCONCEPT AS,4313,58.8524,5.7352,4313
AUTO-V AS,4323,58.8524,5.7352,4323
ÅLESUND BRUKTBIL AS,6010,62.4723,6.1549,6010
ÅLESUND BRUKTBIL AS,6010,62.4723,6.1549,6010
MOTORPOOL HØNEFOSS AS,3511,60.5565,10.0877,3511
DAHL IMPORT & SALG,4326,58.8524,5.7352,4326
ERA LINE AS,4031,58.9701,5.7333,4031
N-AUTO,4250,59.2835,5.3067,4250
CARMAX AUTO ZELON MOHAMMED SABER SABER,3414,59.7553,10.2565,3414
BRUKTBILMEKKA AS,7041,63.4305,10.3951,7041
SIGMA BIL,5224,60.3182,5.3532,5224
AUTO UTVIK AS,5542,59.3765,5.2985,5542
C.S BIL NORGE AS,3731,59.1977,9.5354,3731
CARLSEN AS,5238,60.3106,5.3455,5238
OSLO BIL AUTO AS,1481,59.975,10.9391,1481
BARE BIL AS,1617,59.2344,10.9694,1617
RØHNESELMER AS AVD SALG ASKER,1396,59.8741,10.4842,1396
DIN AUTO AS,1061,59.9127,10.7461,1061
Auto kjeller as,2007,59.9752,11.0421,2007
BILER ZDRAVKOVIC,1850,59.6019,11.3933,1850
NORDEN BIL AS,3048,59.7463,10.1072,3048
CARLSEN AS,5238,60.3106,5.3455,5238
HAMY AUTO AS,5155,60.3266,5.3024,5155
AUTOMOTOR AS,3735,59.1769,9.6167,3735
NS MOTORGROUP BIN KHADRA,3735,59.1769,9.6167,3735
JuTo Bil AS,1476,59.9184,10.9381,1476
ABS AUTO AS,5353,60.3613,5.122,5353
AUTO VIKEN AS,1543,59.5993,10.739,1543
GRIMSTAD ANTIRUST & BILPLEIE V/CHRISTIAN BJELLAND OLSEN,4886,58.3405,8.5934,4886
EVOAUTO AS,4639,58.1467,7.9956,4639
AUTO24 AS,2640,61.595,9.7513,2640
AUTOPORTAL AS,7041,63.4305,10.3951,7041
BILMARK AS,5164,60.3867,5.298,5164
ASKIM AUTO AS,1831,59.5822,11.1527,1831
ARUS BIL AS,3520,60.2802,10.3923,3520
