Region,Postnummer,Priser Autoringen,Sub Region,latitude,longitude,Foreslått Autoringen Pris
Bergen,5229,519,Kalandseidet,60.269,5.4289,580.0
Bergen,5243,519,Fana,60.2634,5.3459,580.0
Bergen,5244,519,Fana,60.2634,5.3459,580.0
Bergen,5224,519,Nesttun,60.3182,5.3532,580.0
Bergen,5225,519,Nesttun,60.3182,5.3532,580.0
Bergen,5226,519,Nesttun,60.3182,5.3532,580.0
Bergen,5227,519,Nesttun,60.3182,5.3532,580.0
Bergen,5228,519,Nesttun,60.3182,5.3532,580.0
Bergen,5238,519,Rådal,60.3106,5.3455,580.0
Bergen,5239,519,Rådal,60.3106,5.3455,580.0
Bergen,5257,519,Kokstad,60.296,5.2655,580.0
Bergen,5258,519,Blomsterdalen,60.2825,5.2503,580.0
Bergen,5259,519,Hjellestad,60.2608,5.2536,580.0
Bergen,5260,519,Indre Arna,60.4177,5.4709,580.0
Bergen,5261,519,Indre Arna,60.4177,5.4709,580.0
Bergen,5262,519,Arnatveit,60.4027,5.4755,580.0
Bergen,5263,519,Trengereid,60.4277,5.6234,580.0
Bergen,5264,519,Garnes,60.4446,5.4719,580.0
Bergen,5265,519,Ytre Arna,60.4617,5.4327,580.0
Bergen,5267,519,Espeland,60.3825,5.4657,580.0
Bergen,5268,519,Haukeland,60.3633,5.4514,580.0
Bergen,5300,519,Kleppestø,60.4084,5.2276,580.0
Bergen,5301,519,Kleppestø,60.4084,5.2276,580.0
Bergen,5302,519,Strusshamn,60.4043,5.1928,580.0
Bergen,5303,519,Follese,60.4102,5.1544,580.0
Bergen,5304,519,Hetlevik,60.426,5.1494,580.0
Bergen,5305,519,Florvåg,60.421,5.2385,580.0
Bergen,5306,519,Erdal,60.4466,5.2207,580.0
Bergen,5098,519,Bergen,60.393,5.3242,580.0
Bergen,5099,519,Bergen,60.393,5.3242,580.0
Bergen,5101,519,Eidsvågneset,60.4433,5.2912,580.0
Bergen,5104,519,Eidsvåg I Åsane,60.4944,5.3032,580.0
