Region,SubRegion,RangeStart,RangeEnd,Gire Price,Autoringen Price,StartLatitude,StartLongitude,EndLatitude,EndLongitude,Distance_km,Suggested Autoringen Price
Bergen,Bergen,5003,5097,519,690,60.393,5.3242,60.393,5.3242,0,580
Bergen,Bergen,5098,5228,519,690,60.393,5.3242,60.2608,5.2536,8.2,580
Bergen,Bergen,5229,5229,519,790,60.2608,5.2536,60.2608,5.2536,0,580
Bergen,Bergen,5230,5239,519,690,60.5103,5.3544,60.5103,5.3544,0,580
Bergen,Bergen,5243,5244,519,790,60.5103,5.3544,60.5103,5.3544,0,580
Bergen,Bergen,5251,5306,519,690,60.5103,5.3544,60.5103,5.3544,0,580
Trondheim,Trondheim,7003,7099,519,490,63.4305,10.3951,63.4305,10.3951,0,580
Trondheim,Trondheim,7102,7141,519,,63.4305,10.3951,63.4305,10.3951,0,580
Trondheim,Trondheim,7143,7149,519,,63.4305,10.3951,63.4305,10.3951,0,580
Trondheim,Trondheim,7151,7563,519,690,63.4305,10.3951,63.2856,10.2781,13.6,580
Stavanger,Stavanger,4000,4296,519,590,58.8524,5.7352,58.8524,5.7352,0,580
Stavanger,Stavanger,4299,4339,519,590,58.8524,5.7352,58.7642,5.8525,12.3,580
Skedsmo,Oslo,0001,1403,519,690,59.9088,10.629,59.9186,11.0786,45.2,580
Ski,Oslo,0001,1403,719,690,59.9088,10.629,59.9186,11.0786,45.2,799
Skedsmo,Enebakk,1404,1404,519,990,59.9186,11.0786,59.9186,11.0786,0,580
Ski,Enebakk,1404,1404,719,750,59.9186,11.0786,59.9186,11.0786,0,799
Skedsmo,Nordre Follo,1405,1406,519,690,59.7229,10.8529,59.7229,10.8529,0,580
Ski,Nordre Follo,1405,1406,719,690,59.7229,10.8529,59.7229,10.8529,0,799
Skedsmo,Ås,1407,1407,519,650,59.656,10.7879,59.656,10.7879,0,580
Ski,Ås,1407,1407,719,650,59.656,10.7879,59.656,10.7879,0,799
Skedsmo,Nordre Follo,1408,1422,519,690,59.7229,10.8529,59.7229,10.8529,0,580
Ski,Nordre Follo,1408,1422,719,690,59.7229,10.8529,59.7229,10.8529,0,799
Skedsmo,Ås,1429,1435,519,650,59.656,10.7879,59.6631,10.6487,14.1,580
Ski,Ås,1429,1435,719,650,59.656,10.7879,59.6631,10.6487,14.1,799
Skedsmo,Oslo,1436,1515,519,,59.6631,10.6487,59.5693,10.7362,9.5,580
