Kjøper,Postnr.,Latitude,Longitude,cleaned_postal_code
RØROS AUTO AS AVD SALG,7374,62.5747,11.3842,7374
INVEST AUTO AS,1664,59.2634,11.005,1664
MOTOR BUREAU AS,3184,59.3776,10.4498,3184
STRANDVEIEN AUTO AS AVD SALG,7047,63.4305,10.3951,7047
MILA BIL AS,2500,62.2759,10.7824,2500
WEBERG AUTO AS,1722,59.2715,11.0857,1722
GRENLAND BIL AS,3735,59.1769,9.6167,3735
MYCAR STAVANGER,4017,58.9701,5.7333,4017
KLIKKBIL AS,3539,60.5565,10.0877,3539
BERGEN AUTOMOBIL AS,5911,60.571,5.2349,5911
DTE - SYSTEMS AS,2827,60.7833,10.6333,2827
MYCAR STAVANGER,4017,58.9701,5.7333,4017
DTE - SYSTEMS AS,2827,60.7833,10.6333,2827
SØRLANDET AUTO AS,4847,58.4615,8.7725,4847
KLIKKBIL AS,3539,60.5565,10.0877,3539
MYCAR STAVANGER,4017,58.9701,5.7333,4017
VAREBIL NO AS,1412,59.7999,10.8158,1412
RØHNESELMER AS AVD SALG ASKER,1396,59.8741,10.4842,1396
N-AUTO,4250,59.2835,5.3067,4250
INVEST AUTO AS,1664,59.2634,11.005,1664
PS AUTOTRADING AS,3629,60.1742,9.0077,3629
JAN KÅRES BIL AS,7228,63.2314,10.2818,7228
LIKA CARS OG TRANSPORT AS,7374,62.5747,11.3842,7374
MR BILSALG AS,4020,58.9701,5.7333,4020
STRANDBYGDA VINTAGE GARAGE BY LANGHOLEN,2411,60.8819,11.5623,2411
AUTOSELEKT AS,1739,59.2693,11.1756,1739
BILCO HØNEFOSS AS,3513,60.5565,10.0877,3513
CASTEL AUTO SALES AS,1661,59.2461,10.997,1661
CARHOUSE AS,0679,59.9127,10.7461,0679
AUTOMOTOR AS,3735,59.1769,9.6167,3735
AUTO TJUVHOLMEN AS,1364,59.8927,10.619,1364
AUTORAMA AS,4053,58.9039,5.6237,4053
DIAMANT BILPLEIE & BILSALG AS,1623,59.2036,10.8582,1623
RIKE AUTO AS,3512,60.5565,10.0877,3512
BEGNA BIL AS,0484,59.9127,10.7461,0484
LILLESAND AUTO AS,4790,58.2488,8.3778,4790
AUTO24 AS,2640,61.595,9.7513,2640
Auto kjeller as,2007,59.9752,11.0421,2007
INVEST AUTO AS,1664,59.2634,11.005,1664
KLEPP BILINVEST AS,4351,58.7742,5.6294,4351
FREDRIKSTAD BIL AS,1624,59.2282,10.9056,1624
LILLESAND AUTO AS,4790,58.2488,8.3778,4790
VIKING AUTO AS - c/o Zeljko Mrkovic,1188,59.9127,10.7461,1188
AUTOSENTRUM HAMAR AS,2318,60.7945,11.068,2318
PREMIUM AUTO AS,4636,58.1467,7.9956,4636
MICHAEL KRISTOFFERSEN,4312,58.8524,5.7352,4312
LILLESTRØM BILSENTER AS,2004,59.9538,11.0632,2004
WELI BIL SALG,2406,60.8819,11.5623,2406
MYCAR STAVANGER,4017,58.9701,5.7333,4017
BILLAGERET AS,2323,60.8273,11.1324,2323
MYCAR STAVANGER,4017,58.9701,5.7333,4017
Auto kjeller as,2007,59.9752,11.0421,2007
OPTIMAL AUTO AS,2022,60.0774,11.0245,2022
DNN BIL AS,2069,60.1571,11.185,2069
CLASSIC 11 AS,1364,59.8927,10.619,1364
BILLAGERET AS,2323,60.8273,11.1324,2323
ØVRE ROMERRIKE SALG OG UTLEIE AS,2072,60.252,11.1806,2072
LOFOTEN AUTO AS,8300,68.2342,14.5683,8300
AUTO24 AS,2640,61.595,9.7513,2640
ASKIM AUTO AS,1831,59.5822,11.1527,1831
VS BIL AS,3027,59.7539,10.1184,3027
RØHNESELMER AS AVD HØNEFOSS,3511,60.5565,10.0877,3511
RØHNESELMER AS AVD HØNEFOSS,3511,60.5565,10.0877,3511
TEAM AUTOSALG AS,3534,60.5565,10.0877,3534
CARMAX AUTO ZELON MOHAMMED SABER SABER,3414,59.7553,10.2565,3414
GRENLAND BIL AS,3735,59.1769,9.6167,3735
BERGEN AUTOMOBIL AS,5911,60.571,5.2349,5911
JAG BILOMSETNING AS,1793,59.1132,11.4327,1793
ØVRE ROMERRIKE SALG OG UTLEIE AS,2072,60.252,11.1806,2072
RENSHUS BIL AS,2647,61.5349,9.701,2647
AUTORAMA AS,4053,58.9039,5.6237,4053
DRAMMEN AUTO 7 AS,3024,59.7543,10.1425,3024
JARLES BIL AS,3516,60.5565,10.0877,3516
Equestrian Cars,1185,59.9127,10.7461,1185
SYKKYLVEN BIL AS AVD SALG,6230,62.3959,6.5875,6230
JuTo Bil AS,1476,59.9184,10.9381,1476
WELI BIL SALG,2406,60.8819,11.5623,2406
TELEMARK BILUTSALG AS,3967,59.013,9.5323,3967
BULIC AUTO,2849,60.7143,10.8577,2849
INVEST AUTO AS,1664,59.2634,11.005,1664
AUTO 1 BIL AS,3718,59.2069,9.582,3718
PREMIUM AUTO AS,4636,58.1467,7.9956,4636
BULIC AUTO,2849,60.7143,10.8577,2849
ASKIM AUTO AS,1831,59.5822,11.1527,1831
