Kjøper,Postnr.,Latitude,Longitude,cleaned_postal_code
SKEDSMO BIL HAMA,2000,59.9481,11.112,2000
VIKING AUTO AS - c/o Zeljko Mrkovic,1188,59.9127,10.7461,1188
ERA LINE AS,4031,58.9701,5.7333,4031
ERA LINE AS,4031,58.9701,5.7333,4031
BILLAGERET AS,2323,60.8273,11.1324,2323
A AUTO AS,1266,59.9127,10.7461,1266
LØRENSKOG BIL HAMA,2010,59.9487,11.0225,2010
A AUTO AS,1266,59.9127,10.7461,1266
AUTOSTUDIO GÅSERUD,2312,60.7474,11.1366,2312
AUTOWAGON AS,4016,58.9701,5.7333,4016
WIIK AUTO AS,2335,60.718,11.1942,2335
STRANDBYGDA VINTAGE GARAGE BY LANGHOLEN,2411,60.8819,11.5623,2411
BJ BIL 1 AS,5052,60.393,5.3242,5052
ØSTFOLD BILSALG AS AVD ASKIM,1832,59.591,11.1312,1832
LØRENSKOG BIL HAMA,2010,59.9487,11.0225,2010
DTE - SYSTEMS AS,2827,60.7833,10.6333,2827
KRISTO BIL AS,1555,59.489,10.6863,1555
AUTO GARANTISTEN AS,3271,59.0774,10.0507,3271
DRAMMEN AUTO 7 AS,3024,59.7543,10.1425,3024
BILCONCEPT AS,4313,58.8524,5.7352,4313
AUTOPARTNER OSLO AS,0668,59.9127,10.7461,0668
FOLLO BILSENTER AS,1820,59.6865,11.2128,1820
ÅLESUND BRUKTBIL AS,6010,62.4723,6.1549,6010
ASKIM AUTO AS,1831,59.5822,11.1527,1831
OSLO BIL AUTO AS,1481,59.975,10.9391,1481
EL-LAHAM AUTO,7082,63.3454,10.3326,7082
PANORAMA AUTO AS,3946,59.1213,9.6922,3946
SENTRAL BIL AS,1472,59.953,10.9844,1472
AUTOPARTNER OSLO AS,0668,59.9127,10.7461,0668
ASKER BRUKTBIL AS,3470,59.7898,10.4948,3470
AUTOLINQ AS,7513,63.468,10.9178,7513
RØHNESELMER AS AVD SALG ASKER,1396,59.8741,10.4842,1396
ØSTFOLD ELBIL AS,1859,59.5958,11.2486,1859
NORDIKO BIL AS,3029,59.7616,10.1268,3029
BRUKTBIL PARTNER AS,1605,59.2204,10.9478,1605
BIL EXPORT AS,0665,59.9127,10.7461,0665
FREDRIKSTAD BIL AS,1624,59.2282,10.9056,1624
BERGEN AUTOMOBIL AS,5911,60.571,5.2349,5911
FOLLO BILSENTER AS,1820,59.6865,11.2128,1820
AUTOPORTAL AS,7041,63.4305,10.3951,7041
JuTo Bil AS,1476,59.9184,10.9381,1476
TELEMARK BILUTSALG AS,3967,59.013,9.5323,3967
AUTO DUHOKI AHMED,1706,59.2822,11.118,1706
MOBILE RØDBERG AS,3630,60.3134,8.9518,3630
AUTOCARRERA AS,3940,59.0817,9.6742,3940
INVEST AUTO AS,1664,59.2634,11.005,1664
LILLESAND AUTO AS,4790,58.2488,8.3778,4790
AUTO UTVIK AS,5542,59.3765,5.2985,5542
GRIMSTAD ANTIRUST & BILPLEIE V/CHRISTIAN BJELLAND OLSEN,4886,58.3405,8.5934,4886
AA AUTO AS,3048,59.7463,10.1072,3048
BULIC AUTO,2849,60.7143,10.8577,2849
SULLAND ØSTFOLD AS AVD FREDRIKSTAD,1617,59.2344,10.9694,1617
N-AUTO,4250,59.2835,5.3067,4250
BERGEN AUTOMOBIL AS,5911,60.571,5.2349,5911
AUTO24 AS,2640,61.595,9.7513,2640
KRISTO BIL AS,1555,59.489,10.6863,1555
JAN-ARILD OVERÅ,7045,63.4305,10.3951,7045
BMB BIL AS,2827,60.7833,10.6333,2827
VIKING AUTO AS - c/o Zeljko Mrkovic,1188,59.9127,10.7461,1188
AUTOSELEKT AS,1739,59.2693,11.1756,1739
OUTLETSENTERET AS,3940,59.0817,9.6742,3940
AUTO VIKEN AS,1543,59.5993,10.739,1543
BTR MOTOR AS,3917,59.1327,9.6682,3917
BMB BIL AS,2827,60.7833,10.6333,2827
ARENDAL BILSENTER AS,4815,58.4887,8.84,4815
LILLESAND AUTO AS,4790,58.2488,8.3778,4790
NORDBIL KENNETH CHRISTENSEN,3516,60.5565,10.0877,3516
VIKING AUTO AS - c/o Zeljko Mrkovic,1188,59.9127,10.7461,1188
AUTOPARTNER OSLO AS,0668,59.9127,10.7461,0668
OSLO BIL AUTO AS,1481,59.975,10.9391,1481
AUTOCARRERA AS,3940,59.0817,9.6742,3940
SELECT BIL AS,3713,59.1783,9.6413,3713
MS BRUMUNDDAL EIENDOMSSERVICE OG BILOUTLET AS,2380,60.8809,10.9395,2380
BILKILDEN AS,4016,58.9701,5.7333,4016
CMA BIL AS,3514,60.5565,10.0877,3514
CASTEL AUTO SALES AS,1661,59.2461,10.997,1661
HENDERSONS AUTO AS,4055,58.8885,5.6528,4055
BILCONCEPT AS,4313,58.8524,5.7352,4313
TOYOTA SOTRA AS AVD ÅGODTNES,5347,60.4031,5.0193,5347
SOFALAND & BILSALG AS,2040,60.0539,11.1413,2040
GRANDE BIL MD AS,0691,59.9127,10.7461,0691
SIGMA BIL,5224,60.3182,5.3532,5224
GRENLAND BIL AS,3735,59.1769,9.6167,3735
S.K MOTOR SENTER AS,3420,59.82,10.3245,3420
TELEMARK BILUTSALG AS,3967,59.013,9.5323,3967
