Kjøper,Postnr.,Latitude,Longitude,cleaned_postal_code
SKEDSMO BIL HAMA,2000,59.9481,11.112,2000
ERA LINE AS,4031,58.9701,5.7333,4031
ASKER BRUKTBIL AS,3470,59.7898,10.4948,3470
ÅLESUND BRUKTBIL AS,6010,62.4723,6.1549,6010
KM AUTO AS (NY),3018,59.749,10.1832,3018
OPTIMAL AUTO AS,2022,60.0774,11.0245,2022
SANDNES BRUKTBIL AS,4316,58.8524,5.7352,4316
CASTEL AUTO SALES AS,1661,59.2461,10.997,1661
AUTO B AS,3055,59.764,10.015,3055
CASTEL AUTO SALES AS,1661,59.2461,10.997,1661
AUTO-V AS,4323,58.8524,5.7352,4323
BILLAGERET AS,2323,60.8273,11.1324,2323
PS AUTOTRADING AS,3629,60.1742,9.0077,3629
MG-AUTO AS,7505,63.468,10.9178,7505
SANDNES BRUKTBIL AS,4316,58.8524,5.7352,4316
BERGEN BILFORMIDLING AS,5258,60.2825,5.2503,5258
MESSEL AUTO,4033,58.9701,5.7333,4033
BROWSKI,4017,58.9701,5.7333,4017
AUTOCARRERA AS,3940,59.0817,9.6742,3940
DRAMMEN AUTO 7 AS,3024,59.7543,10.1425,3024
MESSEL AUTO,4033,58.9701,5.7333,4033
TINIUS BILSENTER AS,1940,59.879,11.5629,1940
ØSTFOLD BILSALG AS AVD ASKIM,1832,59.591,11.1312,1832
SANDNES BRUKTBIL AS,4316,58.8524,5.7352,4316
BROWSKI,4017,58.9701,5.7333,4017
AUTOWAGON AS,4016,58.9701,5.7333,4016
KM AUTO AS (NY),3018,59.749,10.1832,3018
DAHL IMPORT & SALG,4326,58.8524,5.7352,4326
BROWSKI,4017,58.9701,5.7333,4017
VS BIL AS,3027,59.7539,10.1184,3027
RØHNESELMER AS AVD SALG ASKER,1396,59.8741,10.4842,1396
ÅLESUND BRUKTBIL AS,6010,62.4723,6.1549,6010
KLIKKBIL AS,3539,60.5565,10.0877,3539
LOFOTEN AUTO AS,8300,68.2342,14.5683,8300
AUTO VEST AS,5536,59.4138,5.268,5536
KLIKKBIL AS,3539,60.5565,10.0877,3539
