Kjøper,Postnr.,Latitude,Longitude,cleaned_postal_code
TINIUS BILSENTER AS,1940,59.879,11.5629,1940
TRØNDELAG BILDELER AS,7550,63.4108,10.7942,7550
AR BIL AS,2850,60.6739,10.8132,2850
HÅGEN.NO AS,3962,59.0463,9.6559,3962
SELECT BIL AS,3713,59.1783,9.6413,3713
Auto kjeller as,2007,59.9752,11.0421,2007
GARBERG AUTO AS,7580,63.2491,10.9486,7580
BIL DEAL AS,5239,60.3106,5.3455,5239
AUTOCARRERA AS,3940,59.0817,9.6742,3940
RØHNESELMER AS AVD HØNEFOSS,3511,60.5565,10.0877,3511
ØVRE ROMERRIKE SALG OG UTLEIE AS,2072,60.252,11.1806,2072
MARIA IBRAHIM,2016,60.0253,11.1064,2016
Auto kjeller as,2007,59.9752,11.0421,2007
ASKER BRUKTBIL AS,3470,59.7898,10.4948,3470
MOTORING AS,3159,59.2259,10.3515,3159
TELEMARK BILUTSALG AS,3967,59.013,9.5323,3967
ARENDAL BILSENTER AS,4815,58.4887,8.84,4815
AUTOSWAP AS,5068,60.393,5.3242,5068
TELEMARK BILUTSALG AS,3967,59.013,9.5323,3967
TELEMARK BILUTSALG AS,3967,59.013,9.5323,3967
AUTO24 AS,2640,61.595,9.7513,2640
GHOST MOTORS,3048,59.7463,10.1072,3048
TELEMARK BILUTSALG AS,3967,59.013,9.5323,3967
ÅLESUND BRUKTBIL AS,6010,62.4723,6.1549,6010
AUTOAMA AS,3735,59.1769,9.6167,3735
AUTOMOTOR AS,3735,59.1769,9.6167,3735
GARBERG AUTO AS,7580,63.2491,10.9486,7580
OSLO BIL AUTO AS,1481,59.975,10.9391,1481
TELEMARK BILUTSALG AS,3967,59.013,9.5323,3967
ASKIM AUTO AS,1831,59.5822,11.1527,1831
KLIKKBIL AS,3539,60.5565,10.0877,3539
WIIK AUTO AS,2335,60.718,11.1942,2335
JAN KÅRES BIL AS,7228,63.2314,10.2818,7228
FLISA BIL  AS,2270,60.6132,12.0109,2270
BY1BIL AS,8520,68.4206,17.3782,8520
NORDIKO BIL AS,3029,59.7616,10.1268,3029
RYJORD BIL AS,7050,63.4305,10.3951,7050
KM AUTO AS (NY),3018,59.749,10.1832,3018
TELEMARK BILUTSALG AS,3967,59.013,9.5323,3967
MULTI TRADE AUTO AS,7078,63.3671,10.3526,7078
EXXAL MINKOV OG SØNN,5780,60.3757,6.7195,5780
TELEMARK BILUTSALG AS,3967,59.013,9.5323,3967
ASKER BRUKTBIL AS,3470,59.7898,10.4948,3470
BMB BIL AS,2827,60.7833,10.6333,2827
DIN BIL AS,5170,60.3578,5.2447,5170
SIGMA BIL,5224,60.3182,5.3532,5224
TELEMARK BILUTSALG AS,3967,59.013,9.5323,3967
NORDIC BIL AS,3080,59.567,10.158,3080
SAND AUTO AS,7600,63.7464,11.2996,7600
GLITRE BIL AS AVD SALG,3550,60.5565,10.0877,3550
RØHNESELMER AS AVD HØNEFOSS,3511,60.5565,10.0877,3511
YDSE AUTO SALG AS,4636,58.1467,7.9956,4636
LUX AUTO CHEHAB,3732,59.192,9.6159,3732
ØSTFOLD BILSALG AS AVD ASKIM,1832,59.591,11.1312,1832
B AUTO ALHAJI,4365,58.6655,5.6379,4365
AUTO SYNDICATE AS,2335,60.718,11.1942,2335
ROMERIKE AUTOSALG AS,2066,60.1479,11.1702,2066
TRØNDELAG BILDELER AS,7550,63.4108,10.7942,7550
SULLAND DRAMMEN AS BILFORRETNING/ADMINISTRASJON,3023,59.752,10.1611,3023
INVEST AUTO AS,1664,59.2634,11.005,1664
MELHUS BIL TRONDHEIM AS AVD SALG TUNGASLETTA,7047,63.4305,10.3951,7047
MOTORPARTNER AS,3023,59.752,10.1611,3023
AUTO24 AS,2640,61.595,9.7513,2640
RØHNESELMER AS AVD SALG ASKER,1396,59.8741,10.4842,1396
WIIK AUTO AS,2335,60.718,11.1942,2335
JuTo Bil AS,1476,59.9184,10.9381,1476
FLISA BIL  AS,2270,60.6132,12.0109,2270
KRKELA AS,1812,59.5936,11.1921,1812
ÅLESUND BRUKTBIL AS,6010,62.4723,6.1549,6010
Auto kjeller as,2007,59.9752,11.0421,2007
AASEN AUTO,2213,60.1905,11.9977,2213
KM AUTO AS (NY),3018,59.749,10.1832,3018
BMB BIL AS,2827,60.7833,10.6333,2827
ASKIM AUTO AS,1831,59.5822,11.1527,1831
INVEST AUTO AS,1664,59.2634,11.005,1664
